"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround"
4.89299999999997,1.10156600805485,0.600099032748028,0.1
4.89399999999997,1.10155783477595,0.6000980651779,0.1
4.89499999999997,1.10154962449976,0.600097096207987,0.1
4.89599999999997,1.10154137758547,0.600096125874599,0.1
4.89699999999997,1.10153309439283,0.600095154214018,0.1
4.89799999999997,1.10152477528207,0.600094181262498,0.1
4.89899999999997,1.10151642061396,0.600093207056261,0.1
4.89999999999997,1.10150803074973,0.600092231631501,0.1
4.90099999999997,1.10149960605108,0.600091255024377,0.1
4.90199999999997,1.1014911468802,0.600090277271016,0.1
4.90299999999997,1.1014826535997,0.600089298407511,0.1
4.90399999999997,1.10147412657263,0.600088318469918,0.1
4.90499999999997,1.10146556616246,0.600087337494257,0.1
4.90599999999997,1.10145697273308,0.60008635551651,0.1
4.90699999999997,1.10144834664875,0.600085372572619,0.1
4.90799999999997,1.10143968827412,0.600084388698487,0.1
4.90899999999997,1.10143099797422,0.600083403929974,0.1
4.90999999999997,1.10142227611442,0.600082418302897,0.1
4.91099999999997,1.10141352306041,0.600081431853032,0.1
4.91199999999997,1.10140473917826,0.600080444616107,0.1
4.91299999999997,1.10139592483429,0.600079456627805,0.1
4.91399999999997,1.10138708039517,0.600078467923762,0.1
4.91499999999998,1.10137820622782,0.600077478539565,0.1
4.91599999999998,1.10136930269947,0.600076488510752,0.1
4.91699999999998,1.10136037017758,0.60007549787281,0.1
4.91799999999998,1.10135140902986,0.600074506661176,0.1
4.91899999999998,1.10134241962428,0.60007351491123,0.1
4.91999999999998,1.10133340232899,0.600072522658303,0.1
4.92099999999998,1.10132435751239,0.600071529937667,0.1
4.92199999999998,1.10131528554303,0.60007053678454,0.1
4.92299999999998,1.10130618678969,0.600069543234081,0.1
4.92399999999998,1.10129706162127,0.600068549321393,0.1
4.92499999999998,1.10128791040685,0.600067555081517,0.1
4.92599999999998,1.10127873351567,0.600066560549435,0.1
4.92699999999998,1.10126953131705,0.600065565760067,0.1
4.92799999999998,1.10126030418047,0.600064570748269,0.1
4.92899999999998,1.1012510524755,0.600063575548836,0.1
4.92999999999998,1.10124177657179,0.600062580196495,0.1
4.93099999999998,1.10123247683907,0.60006158472591,0.1
4.93199999999998,1.10122315364714,0.600060589171675,0.1
4.93299999999998,1.10121380736585,0.600059593568318,0.1
4.93399999999998,1.10120443836509,0.600058597950298,0.1
4.93499999999998,1.10119504701476,0.600057602352002,0.1
4.93599999999998,1.10118563368481,0.600056606807747,0.1
4.93699999999998,1.10117619874514,0.600055611351778,0.1
4.93799999999998,1.10116674256567,0.600054616018267,0.1
4.93899999999998,1.10115726551629,0.60005362084131,0.1
4.93999999999998,1.10114776796685,0.60005262585493,0.1
4.94099999999998,1.10113825028714,0.600051631093071,0.1
4.94199999999998,1.10112871284689,0.600050636589602,0.1
4.94299999999998,1.10111915601577,0.600049642378313,0.1
4.94399999999998,1.10110958016333,0.600048648492913,0.1
4.94499999999999,1.10109998565905,0.600047654967033,0.1
4.94599999999999,1.10109037287228,0.60004666183422,0.1
4.94699999999999,1.10108074217225,0.600045669127943,0.1
4.94799999999999,1.10107109392803,0.600044676881582,0.1
4.94899999999999,1.10106142850857,0.600043685128437,0.1
4.94999999999999,1.10105174628264,0.60004269390172,0.1
4.95099999999999,1.10104204761883,0.600041703234559,0.1
4.95199999999999,1.10103233288554,0.600040713159994,0.1
4.95299999999999,1.10102260245099,0.600039723710975,0.1
4.95399999999999,1.10101285668316,0.600038734920364,0.1
4.95499999999999,1.10100309594982,0.600037746820935,0.1
4.95599999999999,1.10099332061851,0.600036759445368,0.1
4.95699999999999,1.10098353105648,0.600035772826252,0.1
4.95799999999999,1.10097372763077,0.600034786996083,0.1
4.95899999999999,1.10096391070812,0.600033801987264,0.1
4.95999999999999,1.10095408065498,0.600032817832101,0.1
4.96099999999999,1.1009442378375,0.600031834562808,0.1
4.96199999999999,1.10093438262154,0.600030852211498,0.1
4.96299999999999,1.10092451537262,0.600029870810189,0.1
4.96399999999999,1.10091463645593,0.600028890390801,0.1
4.96499999999999,1.10090474623631,0.600027910985153,0.1
4.96599999999999,1.10089484507825,0.600026932624964,0.1
4.96699999999999,1.10088493334585,0.600025955341854,0.1
4.96799999999999,1.10087501140287,0.600024979167338,0.1
4.96899999999999,1.10086507961263,0.60002400413283,0.1
4.96999999999999,1.10085513833807,0.60002303026964,0.1
4.97099999999999,1.10084518794171,0.600022057608972,0.1
4.97199999999999,1.10083522878564,0.600021086181927,0.1
4.97299999999999,1.1008252612315,0.600020116019497,0.1
4.97399999999999,1.1008152856405,0.600019147152569,0.1
4.975,1.10080530237336,0.600018179611921,0.1
4.976,1.10079531179034,0.600017213428221,0.1
4.977,1.10078531425121,0.600016248632029,0.1
4.978,1.10077531011526,0.600015285253793,0.1
4.979,1.10076529974124,0.600014323323852,0.1
4.98,1.10075528348739,0.60001336287243,0.1
4.981,1.10074526171144,0.60001240392964,0.1
4.982,1.10073523477055,0.60001144652548,0.1
4.983,1.10072520302133,0.600010490689834,0.1
4.984,1.10071516681983,0.60000953645247,0.1
