t,pos1,pos2
1.174,0.067961859,0.102986187
1.175,0.068475022,0.102364829
1.176,0.068986648,0.101749925
1.177,0.069496715,0.101143978
1.178,0.070005207,0.10054939
1.179,0.070512114,0.099968462
1.18,0.071017435,0.099403378
1.181,0.071521173,0.098856206
1.182,0.072023336,0.098328889
1.183,0.07252394,0.097823243
1.184,0.073023004,0.09734095
1.185,0.073520554,0.096883556
1.186,0.07401662,0.096452467
1.187,0.074511236,0.09604895
1.188,0.07500444,0.095674126
1.189,0.075496275,0.095328976
1.19,0.075986787,0.095014333
1.191,0.076476025,0.094730888
1.192,0.076964039,0.094479188
1.193,0.077450886,0.094259638
1.194,0.07793662,0.094072504
1.195,0.0784213,0.093917913
1.196,0.078904986,0.093795857
1.197,0.079387737,0.093706198
1.198,0.079869616,0.09364867
1.199,0.080350684,0.093622883
1.2,0.080831003,0.093628328
1.201,0.081310634,0.093664383
1.202,0.081789639,0.093730318
1.203,0.082268077,0.0938253
1.204,0.082746008,0.093948397
1.205,0.08322349,0.094098589
1.206,0.083700579,0.09427477
1.207,0.084177328,0.094475757
1.208,0.08465379,0.094700295
1.209,0.085130014,0.094947065
1.21,0.085606048,0.095214691
1.211,0.086081936,0.095501747
1.212,0.086557719,0.09580676
1.213,0.087033436,0.096128226
1.214,0.087509121,0.096464607
1.215,0.087984806,0.096814345
1.216,0.088460521,0.097175864
1.217,0.088936289,0.09754758
1.218,0.089412131,0.097927909
1.219,0.089888066,0.098315266
1.22,0.090364106,0.098708081
1.221,0.090840262,0.099104798
1.222,0.09131654,0.099503883
1.223,0.091792943,0.09990383
1.224,0.092269469,0.100303168
1.225,0.092746114,0.100700462
1.226,0.093222868,0.101094322
1.227,0.09369972,0.101483403
1.228,0.094176655,0.101866416
1.229,0.094653653,0.102242123
1.23,0.095130692,0.10260935
1.231,0.095607747,0.102966982
1.232,0.096084789,0.103313971
1.233,0.096561786,0.103649339
1.234,0.097038705,0.103972174
1.235,0.097515509,0.104281642
1.236,0.097992158,0.104576978
1.237,0.09846861,0.104857494
1.238,0.098944822,0.10512258
1.239,0.099420749,0.105371699
1.24,0.099896341,0.105604394
1.241,0.100371551,0.105820282
1.242,0.100846328,0.10601906
1.243,0.101320619,0.106200497
1.244,0.101794372,0.10636444
1.245,0.102267533,0.106510807
1.246,0.102740048,0.10663959
1.247,0.103211861,0.106750851
1.248,0.103682917,0.10684472
1.249,0.10415316,0.106921392
1.25,0.104622535,0.106981128
1.251,0.105090987,0.107024248
1.252,0.10555846,0.107051132
1.253,0.106024901,0.107062214
1.254,0.106490255,0.107057981
1.255,0.106954469,0.107038967
1.256,0.107417492,0.107005755
1.257,0.107879272,0.106958966
1.258,0.108339759,0.106899263
1.259,0.108798906,0.106827342
1.26,0.109256665,0.10674393
1.261,0.109712991,0.106649783
1.262,0.11016784,0.106545679
1.263,0.11062117,0.106432418
1.264,0.11107294,0.106310814
1.265,0.111523114,0.106181696
1.266,0.111971653,0.1060459
1.267,0.112418524,0.105904268
1.268,0.112863694,0.105757644
1.269,0.113307133,0.105606871
1.27,0.113748812,0.105452787
1.271,0.114188706,0.10529622
1.272,0.11462679,0.105137988
1.273,0.115063042,0.104978896
1.274,0.115497443,0.104819729
1.275,0.115929974,0.104661253
1.276,0.11636062,0.104504212
1.277,0.116789366,0.104349326
1.278,0.117216202,0.104197285
1.279,0.117641117,0.104048751
1.28,0.118064103,0.103904354
1.281,0.118485154,0.103764693
1.282,0.118904266,0.10363033
1.283,0.119321435,0.103501792
1.284,0.119736661,0.103379567
1.285,0.120149943,0.103264107
1.286,0.120561285,0.103155824
1.287,0.120970688,0.103055089
1.288,0.121378157,0.102962232
1.289,0.121783698,0.102877546
1.29,0.122187318,0.102801278
1.291,0.122589024,0.102733638
1.292,0.122988824,0.102674793
1.293,0.123386729,0.102624871
1.294,0.123782748,0.102583959
1.295,0.124176891,0.102552104
1.296,0.12456917,0.102529317
1.297,0.124959597,0.102515568
1.298,0.125348183,0.102510794
1.299,0.125734941,0.102514895
1.3,0.126119881,0.102527735
1.301,0.126503018,0.102549147
1.302,0.126884362,0.102578935
1.303,0.127263927,0.102616868
1.304,0.127641723,0.102662692
1.305,0.128017762,0.102716125
1.306,0.128392055,0.102776858
1.307,0.128764614,0.102844563
1.308,0.129135447,0.102918888
1.309,0.129504564,0.102999466
1.31,0.129871976,0.10308591
1.311,0.130237688,0.103177818
1.312,0.13060171,0.103274776
1.313,0.130964048,0.10337636
1.314,0.131324706,0.103482135
1.315,0.131683692,0.103591661
1.316,0.132041008,0.103704491
1.317,0.132396657,0.103820176
1.318,0.132750642,0.103938265
1.319,0.133102964,0.104058309
1.32,0.133453623,0.10417986
1.321,0.133802618,0.104302474
1.322,0.134149948,0.104425714
1.323,0.134495609,0.10454915
1.324,0.134839598,0.104672361
1.325,0.13518191,0.104794935
1.326,0.135522539,0.104916474
1.327,0.135861479,0.105036592
1.328,0.136198722,0.105154918
1.329,0.136534259,0.105271096
1.33,0.136868081,0.105384786
1.331,0.137200178,0.105495667
1.332,0.137530539,0.105603435
1.333,0.137859151,0.105707807
1.334,0.138186003,0.105808517
1.335,0.13851108,0.105905323
1.336,0.13883437,0.105998
1.337,0.139155857,0.106086347
1.338,0.139475526,0.106170183
1.339,0.139793362,0.106249351
1.34,0.140109349,0.106323712
1.341,0.14042347,0.106393153
1.342,0.140735708,0.106457581
1.343,0.141046046,0.106516922
1.344,0.141354467,0.106571129
1.345,0.141660953,0.10662017
1.346,0.141965487,0.106664038
1.347,0.14226805,0.106702745
1.348,0.142568625,0.106736321
1.349,0.142867194,0.106764816
1.35,0.143163739,0.1067883
1.351,0.143458242,0.106806858
1.352,0.143750686,0.106820594
1.353,0.144041053,0.106829625
1.354,0.144329326,0.106834086
1.355,0.144615489,0.106834125
1.356,0.144899524,0.106829904
1.357,0.145181416,0.106821595
1.358,0.145461149,0.106809384
1.359,0.145738708,0.106793467
1.36,0.146014077,0.106774046
1.361,0.146287243,0.106751335
1.362,0.146558191,0.106725554
1.363,0.146826909,0.106696927
1.364,0.147093383,0.106665685
1.365,0.147357601,0.106632062
1.366,0.147619552,0.106596297
1.367,0.147879225,0.106558627
1.368,0.14813661,0.106519293
1.369,0.148391697,0.106478535
1.37,0.148644477,0.106436592
1.371,0.148894941,0.106393699
1.372,0.149143083,0.106350091
1.373,0.149388895,0.106305997
1.374,0.149632371,0.106261644
1.375,0.149873506,0.10621725
1.376,0.150112293,0.106173029
1.377,0.150348729,0.106129188
1.378,0.15058281,0.106085926
1.379,0.150814532,0.106043434
1.38,0.151043895,0.106001894
1.381,0.151270894,0.10596148
1.382,0.151495529,0.105922354
1.383,0.1517178,0.105884669
1.384,0.151937705,0.105848569
1.385,0.152155245,0.105814185
1.386,0.15237042,0.105781638
1.387,0.152583232,0.105751037
1.388,0.152793682,0.10572248
1.389,0.153001773,0.105696054
1.39,0.153207506,0.105671834
1.391,0.153410883,0.105649882
1.392,0.153611909,0.105630251
1.393,0.153810587,0.105612979
1.394,0.154006919,0.105598097
1.395,0.15420091,0.105585622
1.396,0.154392564,0.105575559
1.397,0.154581884,0.105567905
1.398,0.154768876,0.105562645
1.399,0.154953544,0.105559754
1.4,0.155135892,0.105559197
1.401,0.155315924,0.105560929
1.402,0.155493647,0.105564899
1.403,0.155669064,0.105571044
1.404,0.15584218,0.105579293
1.405,0.156012999,0.105589571
1.406,0.156181527,0.105601791
1.407,0.156347769,0.105615863
1.408,0.156511727,0.10563169
1.409,0.156673408,0.105649169
1.41,0.156832815,0.105668191
1.411,0.156989953,0.105688646
1.412,0.157144825,0.105710416
1.413,0.157297435,0.105733382
1.414,0.157447788,0.105757423
1.415,0.157595886,0.105782414
1.416,0.157741732,0.10580823
1.417,0.157885331,0.105834743
1.418,0.158026684,0.105861826
1.419,0.158165794,0.105889352
1.42,0.158302665,0.105917193
1.421,0.158437297,0.105945225
1.422,0.158569693,0.105973323
1.423,0.158699855,0.106001364
1.424,0.158827784,0.106029229
1.425,0.158953482,0.1060568
1.426,0.15907695,0.106083964
1.427,0.159198187,0.10611061
1.428,0.159317196,0.106136633
1.429,0.159433977,0.10616193
1.43,0.159548529,0.106186404
1.431,0.159660853,0.106209963
1.432,0.159770949,0.106232519
1.433,0.159878817,0.106253991
1.434,0.159984455,0.106274303
1.435,0.160087864,0.106293383
1.436,0.160189042,0.106311168
1.437,0.160287989,0.106327599
1.438,0.160384705,0.106342623
1.439,0.160479186,0.106356193
1.44,0.160571434,0.106368271
1.441,0.160661446,0.106378821
1.442,0.160749221,0.106387817
1.443,0.160834758,0.106395235
1.444,0.160918055,0.106401062
1.445,0.160999112,0.106405288
1.446,0.161077926,0.106407909
1.447,0.161154497,0.106408926
1.448,0.161228823,0.106408349
1.449,0.161300903,0.10640619
1.45,0.161370736,0.106402468
1.451,0.16143832,0.106397205
1.452,0.161503655,0.106390432
1.453,0.16156674,0.106382181
1.454,0.161627574,0.106372488
1.455,0.161686156,0.106361397
1.456,0.161742486,0.106348951
1.457,0.161796564,0.106335201
1.458,0.161848388,0.106320198
1.459,0.16189796,0.106303997
1.46,0.161945278,0.106286657
1.461,0.161990345,0.106268237
1.462,0.162033159,0.106248801
1.463,0.162073722,0.106228412
1.464,0.162112034,0.106207136
1.465,0.162148098,0.10618504
1.466,0.162181913,0.106162192
1.467,0.162213482,0.106138661
1.468,0.162242806,0.106114515
1.469,0.162269888,0.106089823
1.47,0.162294729,0.106064654
1.471,0.162317333,0.106039075
1.472,0.162337701,0.106013155
1.473,0.162355837,0.10598696
1.474,0.162371744,0.105960554
1.475,0.162385426,0.105934001
1.476,0.162396885,0.105907364
