"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround","chassis1\zChassis","wheel1\zWheel","ground1\zGround"
0,1,0.5,0,1.00000000000008,0.500000004903325,0
0.001,1,0.5,0,1.0000000144411,0.500016971591147,0
0.002,1,0.5,0,1.0000000716491,0.500033890797222,0
0.003,1,0.5,0,1.00000017095735,0.50005025301018,0
0.004,1,0.5,0,1.00000031135918,0.500066004284969,0
0.005,1,0.5,0,1.00000049170118,0.500081095709585,0
0.006,1,0.5,0,1.00000071069217,0.500095482317324,0
0.007,1,0.5,0,1.0000009669119,0.500109123165651,0
0.008,1,0.5,0,1.00000125882017,0.500121981401533,0
0.009,1,0.5,0,1.00000158476617,0.500134024308403,0
0.01,1,0.5,0,1.00000194299803,0.500145223335011,0
0.011,1,0.5,0,1.00000233167251,0.500155554106507,0
0.012,1,0.5,0,1.00000274886489,0.500164996418152,0
0.013,1,0.5,0,1.00000319257891,0.500173534212134,0
0.014,1,0.5,0,1.00000366075671,0.500181155538006,0
0.015,1,0.5,0,1.00000415128883,0.500187852497327,0
0.016,1,0.5,0,1.00000466202412,0.500193621173132,0
0.017,1,0.5,0,1.00000519077962,0.500198461544903,0
0.018,1,0.5,0,1.00000573535028,0.500202377389758,0
0.019,1,0.5,0,1.00000629351852,0.500205376170621,0
0.02,1,0.5,0,1.00000686306363,0.500207468912136,0
0.021,1,0.5,0,1.00000744177093,0.500208670065177,0
0.022,1,0.5,0,1.00000802744064,0.500208997360773,0
0.023,1,0.5,0,1.00000861789655,0.500208471654318,0
0.024,1,0.5,0,1.00000921099427,0.500207116760961,0
0.025,1,0.5,0,1.00000980462919,0.500204959283067,0
0.026,1,0.5,0,1.00001039674412,0.500202028430644,0
0.027,1,0.5,0,1.00001098533645,0.500198355835674,0
0.028,1,0.5,0,1.00001156846496,0.500193975361242,0
0.029,1,0.5,0,1.00001214425624,0.50018892290638,0
0.03,1,0.5,0,1.00001271091056,0.500183236207542,0
0.031,1,0.5,0,1.00001326670741,0.500176954637593,0
0.032,1,0.5,0,1.0000138100105,0.500170119003217,0
0.033,1,0.5,0,1.00001433927232,0.500162771341586,0
0.034,1,0.5,0,1.00001485303819,0.500154954717172,0
0.035,1,0.5,0,1.00001534994992,0.500146713019502,0
0.036,1,0.5,0,1.00001582874881,0.500138090762676,0
0.037,1,0.5,0,1.00001628827835,0.500129132887418,0
0.038,1,0.5,0,1.00001672748632,0.500119884566403,0
0.039,1,0.5,0,1.00001714542646,0.500110391013579,0
0.04,1,0.5,0,1.00001754125964,0.500100697298162,0
0.041,1,0.5,0,1.00001791425456,0.500090848163936,0
0.042,1,0.5,0,1.00001826378802,0.500080887854477,0
0.043,1,0.5,0,1.0000185893447,0.500070859944858,0
0.044,1,0.5,0,1.00001889051656,0.500060807180359,0
0.045,1,0.5,0,1.00001916700177,0.500050771322668,0
0.046,1,0.5,0,1.00001941860321,0.500040793004001,0
0.047,1,0.5,0,1.00001964522668,0.500030911589558,0
0.048,1,0.5,0,1.00001984687862,0.500021165048641,0
0.049,1,0.5,0,1.00002002366356,0.500011589834759,0
0.05,1,0.5,0,1.00002017578118,0.500002220774978,0
0.051,1,0.5,0,1.00002030352308,0.499993090968728,0
0.052,1,0.5,0,1.00002040726926,0.499984231696253,0
0.053,1,0.5,0,1.00002048748433,0.499975672336816,0
0.054,1,0.5,0,1.00002054471341,0.499967440296768,0
0.055,1,0.5,0,1.00002057957792,0.499959560947507,0
0.056,1,0.5,0,1.00002059277108,0.499952057573334,0
0.057,1,0.5,0,1.00002058505322,0.499944951329178,0
0.058,1,0.5,0,1.00002055724699,0.499938261208098,0
0.059,1,0.5,0,1.00002051023242,0.499932004018457,0
0.06,1,0.5,0,1.00002044494186,0.49992619437061,0
0.061,1,0.5,0,1.00002036235481,0.499920844672925,0
0.062,1,0.5,0,1.00002026349275,0.499915965136912,0
0.063,1,0.5,0,1.00002014941389,0.499911563791202,0
0.064,1,0.5,0,1.00002002120788,0.499907646504115,0
0.065,1,0.5,0,1.0000198799906,0.499904217014476,0
0.066,1,0.5,0,1.00001972689888,0.499901276970373,0
0.067,1,0.5,0,1.00001956308537,0.49989882597548,0
0.068,1,0.5,0,1.00001938971337,0.499896861642566,0
0.069,1,0.5,0,1.00001920795186,0.499895379653789,0
0.07,1,0.5,0,1.00001901897051,0.499894373827364,0
0.071,1,0.5,0,1.00001882393493,0.499893836190158,0
0.0720000000000001,1,0.5,0,1.00001862400198,0.499893757055773,0
0.0730000000000001,1,0.5,0,1.00001842031528,0.499894125107655,0
0.0740000000000001,1,0.5,0,1.00001821400085,0.499894927486761,0
0.0750000000000001,1,0.5,0,1.00001800616294,0.499896149883316,0
0.0760000000000001,1,0.5,0,1.00001779788013,0.49989777663217,0
0.0770000000000001,1,0.5,0,1.00001759020147,0.499899790811284,0
0.0780000000000001,1,0.5,0,1.00001738414304,0.499902174342852,0
0.0790000000000001,1,0.5,0,1.00001718068458,0.499904908096593,0
0.0800000000000001,1,0.5,0,1.00001698076639,0.499907971994719,0
0.0810000000000001,1,0.5,0,1.00001678528653,0.49991134511812,0
0.0820000000000001,1,0.5,0,1.00001659509821,0.499915005813294,0
0.0830000000000001,1,0.5,0,1.00001641100742,0.499918931799564,0
0.0840000000000001,1,0.5,0,1.00001623377085,0.49992310027615,0
0.0850000000000001,1,0.5,0,1.00001606409403,0.499927488028634,0
0.0860000000000001,1,0.5,0,1.00001590262979,0.499932071534433,0
0.0870000000000001,1,0.5,0,1.00001574997687,0.499936827066845,0
0.0880000000000001,1,0.5,0,1.00001560667889,0.499941730797288,0
0.0890000000000001,1,0.5,0,1.00001547322351,0.49994675889537,0
0.0900000000000001,1,0.5,0,1.00001535004187,0.499951887626421,0
0.0910000000000001,1,0.5,0,1.00001523750825,0.499957093446152,0
0.0920000000000001,1,0.5,0,1.00001513593999,0.499962353092148,0
0.0930000000000001,1,0.5,0,1.00001504559766,0.49996764367187,0
0.0940000000000001,1,0.5,0,1.0000149666854,0.49997294274692,0
0.0950000000000001,1,0.5,0,1.00001489935156,0.499978228413307,0
0.0960000000000001,1,0.5,0,1.00001484368949,0.499983479377488,0
0.0970000000000001,1,0.5,0,1.00001479973856,0.499988675027984,0
0.0980000000000001,1,0.5,0,1.00001476748539,0.49999379550239,0
0.0990000000000001,1,0.5,0,1.00001474686523,0.499998821749611,0
0.1,1,0.5,0,1.00001473776353,0.500003735587212,0
0.101,1,0.5,0,1.00001474001771,0.500008519753752,0
0.102,1,0.5,0,1.000014753419,0.500013157956019,0
0.103,1,0.5,0,1.0000147777145,0.500017634911114,0
0.104,1,0.5,0,1.00001481260936,0.500021936383327,0
0.105,1,0.5,0,1.00001485776902,0.500026049215795,0
0.106,1,0.5,0,1.00001491282158,0.500029961356944,0
0.107,1,0.5,0,1.00001497736033,0.500033661881742,0
0.108,1,0.5,0,1.00001505094626,0.500037141007793,0
0.109,1,0.5,0,1.0000151331107,0.50004039010636,0
