t,pos1,pos2
1.023932314,0.001762046,0.073559771
1.024032314,0.001782357,0.074004215
1.024132314,0.001802801,0.074448306
1.024232314,0.001823377,0.074892024
1.024332314,0.001844087,0.075335355
1.024432314,0.001864931,0.075778281
1.024532314,0.001885907,0.076220785
1.024632314,0.001907016,0.076662851
1.024732314,0.001928259,0.077104461
1.024832314,0.001949635,0.077545599
1.024932314,0.001971144,0.077986249
1.025032314,0.001992787,0.078426393
1.025132314,0.002014562,0.078866016
1.025232314,0.002036471,0.079305102
1.025332314,0.002058513,0.079743633
1.025432314,0.002080689,0.080181593
1.025532314,0.002102997,0.080618967
1.025632314,0.002125439,0.081055738
1.025732314,0.002148014,0.081491889
1.025832314,0.002170722,0.081927406
1.025932314,0.002193563,0.082362272
1.026032314,0.002216537,0.082796472
1.026132314,0.002239644,0.083229988
1.026232314,0.002262884,0.083662807
1.026332314,0.002286257,0.084094911
1.026432314,0.002309762,0.084526286
1.026532314,0.002333401,0.084956915
1.026632314,0.002357172,0.085386784
1.026732314,0.002381076,0.085815877
1.026832314,0.002405112,0.086244179
1.026932314,0.002429281,0.086671674
1.027032314,0.002453582,0.087098347
1.027132314,0.002478015,0.087524183
1.027232314,0.002502581,0.087949168
1.027332314,0.002527278,0.088373285
1.027432314,0.002552108,0.088796521
1.027532314,0.002577069,0.08921886
1.027632314,0.002602163,0.089640288
1.027732314,0.002627388,0.09006079
1.027832314,0.002652744,0.090480351
1.027932314,0.002678232,0.090898957
1.028032314,0.002703852,0.091316594
1.028132314,0.002729602,0.091733246
1.028232314,0.002755484,0.092148901
1.028332314,0.002781496,0.092563543
1.028432314,0.00280764,0.092977158
1.028532314,0.002833913,0.093389733
1.028632314,0.002860318,0.093801253
1.028732314,0.002886853,0.094211705
1.028832314,0.002913518,0.094621074
1.028932314,0.002940312,0.095029348
1.029032314,0.002967237,0.095436511
1.029132314,0.002994292,0.095842551
1.029232314,0.003021476,0.096247455
1.029332314,0.003048789,0.096651208
1.029432314,0.003076232,0.097053797
1.029532314,0.003103803,0.09745521
1.029632314,0.003131503,0.097855433
1.029732314,0.003159332,0.098254452
1.029832314,0.00318729,0.098652255
1.029932314,0.003215375,0.09904883
1.030032314,0.003243589,0.099444162
1.030132314,0.00327193,0.099838239
1.030232314,0.003300399,0.10023105
1.030332314,0.003328995,0.10062258
1.030432314,0.003357719,0.101012818
1.030532314,0.003386569,0.10140175
1.030632314,0.003415546,0.101789366
1.030732314,0.00344465,0.102175652
1.030832314,0.00347388,0.102560596
1.030932314,0.003503236,0.102944186
1.031032314,0.003532718,0.103326411
1.031132314,0.003562325,0.103707258
1.031232314,0.003592058,0.104086715
1.031332314,0.003621916,0.104464771
1.031432314,0.003651899,0.104841414
1.031532314,0.003682006,0.105216632
1.031632314,0.003712237,0.105590414
1.031732314,0.003742593,0.105962749
1.031832314,0.003773072,0.106333626
1.031932314,0.003803675,0.106703032
1.032032314,0.003834401,0.107070957
1.032132314,0.00386525,0.10743739
1.032232314,0.003896222,0.10780232
